ticker,score,rank
FUBO,0.031749435,218.0
SEPN,0.03169608,219.0
LZM,0.03168029,220.0
MNY,0.031607598,221.0
NVX,0.03152681,222.0
BDTX,0.03133604,223.0
QRHC,0.031056473,224.0
LOVE,0.031032676,225.0
BRBR,0.031024462,226.0
FIP,0.030733585,227.0
ASUR,0.03059853,228.5
GSHD,0.03059853,228.5
ABCL,0.030516857,230.0
AMSF,0.030479124,231.0
EVER,0.030234355,232.0
FND,0.030069087,233.0
DOUG,0.030012067,234.0
CACC,0.029844496,235.0
PRME,0.029540684,236.0
BXC,0.029050522,237.0
MCW,0.029021619,238.0
MAMA,0.028988518,239.0
BLTE,0.02889822,240.0
ACET,0.028853536,241.0
JMIA,0.028550342,242.0
ALEX,0.028483186,243.0
LEN.B,0.028441425,244.0
BSET,0.028391015,245.0
IPWR,0.028361723,246.0
LXRX,0.028295968,247.0
MPAA,0.028026534,248.0
HDSN,0.02797726,249.0
CNS,0.027882345,250.0
HLLY,0.02787837,251.0
OXM,0.0278633,252.0
ARCT,0.027857156,253.0
ADEA,0.027590469,254.0
CGBD,0.027338712,255.0
OLP,0.027096273,256.0
IART,0.02709372,257.5
GDYN,0.02709372,257.5
CRESY,0.027059186,259.0
GRNQ,0.026968637,260.0
CGON,0.026957517,261.0
FN,0.02692689,262.0
PBI,0.02682636,263.0
VYX,0.026749212,265.5
CNNE,0.026749212,265.5
BBSI,0.026749212,265.5
BFAM,0.026749212,265.5
BANF,0.026497666,268.0
FOLD,0.026473526,269.0
DCBO,0.026421517,270.0
AGYS,0.026378004,271.0
GCO,0.026339922,272.0
RELX,0.026296634,273.0
AVNW,0.026060138,274.5
IIIN,0.026060138,274.5
INGN,0.026013222,276.5
NCMI,0.026013222,276.5
INGR,0.025854526,278.5
XFLT,0.025854526,278.5
BCSF,0.025808817,280.0
BWIN,0.025768554,281.0
DBI,0.025748035,282.0
CPS,0.025629431,283.0
DOYU,0.025407609,285.0
IIIV,0.025407609,285.0
ATS,0.025407609,285.0
MDXG,0.025278319,287.0
BANR,0.025275938,288.0
CLAR,0.025208056,289.0
LBRDK,0.025140902,290.0
AXIA,0.024961308,291.0
RIGL,0.024954759,292.0
OPRT,0.02491173,293.0
CRMD,0.024821425,294.0
COLD,0.02467861,295.0
ALDX,0.024668856,296.0
NAVI,0.024654765,297.0
EHTH,0.024595905,298.0
CUZ,0.024571557,299.0
HLI,0.024526399,300.0
FBIN,0.024479024,301.0
FWRG,0.024455441,302.0
DNTH,0.024454247,303.0
ADNT,0.024140885,304.0
CSL,0.024070641,305.0
NGVC,0.02402261,306.5
KMPR,0.02402261,306.5
RCUS,0.023990236,309.0
RLAY,0.023990236,309.0
CMPX,0.023990236,309.0
SHEN,0.023936715,311.0
HUYA,0.023771266,312.0
CXT,0.023737162,313.5
RGP,0.023737162,313.5
INVZ,0.023649441,315.0
GOTU,0.02364711,316.0
EXP,0.023602277,317.0
HIVE,0.023565037,318.0
LIF,0.023520024,319.0
JFIN,0.023363724,320.0
BBW,0.023251977,321.0
HLNE,0.023121212,322.0
LEGH,0.023050949,323.5
RMAX,0.023050949,323.5
TRAK,0.02303967,325.0
DFIN,0.022941213,326.5
KIDS,0.022941213,326.5
FCBC,0.022765119,328.0
FWRD,0.022728719,329.0
FOR,0.022716522,330.0
ORN,0.02270662,331.0
AURA,0.022698235,332.0
REZI,0.022671621,333.0
PAY,0.022624047,334.0
HRTX,0.022545718,335.0
CHDN,0.022446845,336.0
APOG,0.022375988,337.5
CINT,0.022375988,337.5
NSIT,0.022335397,339.0
RYAN,0.02220631,341.5
WAY,0.02220631,341.5
ETD,0.02220631,341.5
LSPD,0.02220631,341.5
GRFS,0.022201762,344.5
MQ,0.022201762,344.5
DOMO,0.022167794,346.0
ILPT,0.022039585,347.0
EXFY,0.022019658,348.0
ABSI,0.021988649,349.0
GHI,0.021909494,350.0
JILL,0.021870922,351.0
FG,0.021857737,352.0
NLOP,0.021590853,353.0
PCOR,0.021582756,354.0
JBGS,0.021523159,355.0
PEGA,0.021517236,356.0
PRTH,0.021512844,357.0
OZK,0.021477588,358.0
CRBU,0.02145684,359.0
HGV,0.021423515,360.0
ALKT,0.02138862,363.5
S,0.02138862,363.5
ESRT,0.02138862,363.5
PLTK,0.02138862,363.5
COLM,0.02138862,363.5
DCTH,0.02138862,363.5
CG,0.021387056,367.0
ANGI,0.021343052,369.0
VCEL,0.021343052,369.0
KOSS,0.021343052,369.0
DAO,0.02131769,371.0
MTH,0.021277474,372.5
NSA,0.021277474,372.5
NOA,0.021241896,374.0
CODI,0.0212342,375.0
MCS,0.021223962,376.0
GPK,0.021217106,377.0
EVLV,0.021143265,378.0
BWMN,0.021140298,379.0
ABEO,0.021051014,380.0
ESTA,0.0208279,381.0
DEI,0.020710018,382.5
JJSF,0.020710018,382.5
GWRS,0.020665154,384.0
KOP,0.020653717,387.5
BOC,0.020653717,387.5
BMI,0.020653717,387.5
BLKB,0.020653717,387.5
MGRC,0.020653717,387.5
OLED,0.020653717,387.5
PRAA,0.02053576,391.0
STVN,0.02051118,392.0
CDXS,0.020428717,393.0
CCSI,0.020408748,394.0
MAX,0.020395812,395.0
NMFC,0.0203718,396.0
PCRX,0.020253915,397.0
GOOD,0.02017676,398.0
CHH,0.020135708,399.0
ALTI,0.020105442,400.0
APPF,0.020030163,404.5
ALG,0.020030163,404.5
CRCT,0.020030163,404.5
CRBG,0.020030163,404.5
RSKD,0.020030163,404.5
RAMP,0.020030163,404.5
BOW,0.020030163,404.5
DEC,0.020030163,404.5
AOUT,0.020001002,409.0
CVGW,0.019899732,410.0
CIM,0.019883435,411.0
YELP,0.01983084,414.0
NABL,0.01983084,414.0
DDI,0.01983084,414.0
VVV,0.01983084,414.0
CVLT,0.01983084,414.0
BLND,0.019785274,417.5
OSG,0.019785274,417.5
AKBA,0.019778986,419.0
OPAL,0.019746969,420.0
DNN,0.019734967,421.0
TRC,0.01965375,422.0
HAIN,0.019595323,423.0
IPAR,0.019554187,424.0
AMPL,0.019312114,427.5
NOAH,0.019312114,427.5
OSW,0.019312114,427.5
TWFG,0.019312114,427.5
GTES,0.019312114,427.5
LWAY,0.019312114,427.5
CMTG,0.019294027,431.0
IPI,0.019266548,432.0
SRI,0.019258542,433.0
BNED,0.019235317,434.0
NN,0.01916923,435.0
GLAD,0.019114126,436.0
ZTS,0.01911256,443.0
KRT,0.01911256,443.0
PX,0.01911256,443.0
GRNT,0.01911256,443.0
CLFD,0.01911256,443.0
MED,0.01911256,443.0
EPM,0.01911256,443.0
RBBN,0.01911256,443.0
JYNT,0.01911256,443.0
KAI,0.01911256,443.0
CARS,0.01911256,443.0
INN,0.01911256,443.0
CCC,0.01911256,443.0
UPBD,0.019103989,450.0
MTRX,0.019066995,451.0
MBUU,0.019065898,452.0
DRVN,0.019054461,453.0
DSGR,0.019036096,454.0
AMWL,0.018816344,455.0
IDT,0.01863351,456.0
TNC,0.018608209,457.0
CNMD,0.018583115,459.5
EPC,0.018583115,459.5
CRTO,0.018583115,459.5
OC,0.018583115,459.5
OSUR,0.01853755,462.5
KELYA,0.01853755,462.5
LOCO,0.01838151,464.5
ABG,0.01838151,464.5
ITRI,0.018329434,466.0
PAM,0.01831315,467.0
FRPH,0.018293098,468.0
MD,0.018255306,469.0
BCC,0.017978605,470.0
FRHC,0.017928932,471.0
BOOT,0.017883314,472.0
MFIC,0.017825732,473.0
BZ,0.01780754,474.0
PJT,0.017806176,475.0
MNRO,0.017736815,476.0
GNTX,0.017722853,478.0
CENT,0.017722853,478.0
KSPI,0.017722853,478.0
CMP,0.017636264,480.0
IMMR,0.01762817,481.0
MUSA,0.017534167,482.0
INTA,0.017513305,483.0
CNTA,0.017484684,484.0
ORMP,0.017418072,485.0
GCMG,0.017406598,486.0
CDZI,0.017401775,487.0
DXPE,0.01734208,488.0
EHC,0.017137617,489.0
CENTA,0.017099299,490.0
BZH,0.017078899,491.0
EVGO,0.01698783,492.0
FSV,0.016981173,493.0
CBT,0.016955458,494.0
CBSH,0.016928658,495.0
KW,0.016737264,496.5
WBTN,0.016737264,496.5
MLCO,0.016549665,498.0
STXS,0.01649537,499.0
EXK,0.01638997,500.0
NIU,0.016362302,501.0
MSEX,0.016304249,502.0
MGTX,0.016290296,503.0
KRC,0.016276129,504.0
AIRJ,0.016272523,505.0
VRTS,0.016242195,506.0
FIZZ,0.016181696,507.0
ZEUS,0.016097624,508.0
ODD,0.01607215,509.0
UNTY,0.016027622,510.0
ACCO,0.01599301,511.5
LPX,0.01599301,511.5
PAYO,0.015961317,513.0
LAKE,0.015816117,514.0
IHRT,0.015770948,515.0
FDUS,0.01566862,516.0
EQH,0.01561864,517.0
NAGE,0.015575728,518.0
MORN,0.015552155,519.0
OOMA,0.015495847,520.0
ABX,0.015464673,521.0
JAKK,0.0154635655,522.0
RICK,0.015462924,523.0
AGRO,0.015382557,524.0
NCDL,0.015377271,525.0
MCRI,0.0153727215,526.0
QLYS,0.015340529,527.5
FSUN,0.015340529,527.5
FARM,0.015336991,529.0
AAT,0.015249285,530.0
GSBC,0.015160038,531.0
PFGC,0.015109493,532.0
SWBI,0.0150980735,535.5
NOK,0.0150980735,535.5
MATV,0.0150980735,535.5
BCAX,0.0150980735,535.5
GPRE,0.0150980735,535.5
FLS,0.0150980735,535.5
LZB,0.0150209665,539.5
MBIN,0.0150209665,539.5
TPG,0.014995504,541.0
ARWR,0.014988759,542.0
GBTG,0.01498585,543.0
PRAX,0.01493043,544.0
HELE,0.014822449,545.0
BAND,0.014759007,546.0
GBDC,0.014753717,547.0
PAG,0.014594476,548.0
FCPT,0.01449616,549.0
MTW,0.014474609,550.0
PBH,0.0144264065,551.0
LPRO,0.014413475,552.0
MLKN,0.014411491,554.0
MMSI,0.014411491,554.0
OPK,0.014411491,554.0
ATEX,0.0141438935,556.0
NEU,0.014142856,557.0
UMH,0.014129568,558.5
PRI,0.014129568,558.5
MNR,0.01395239,560.0
AVIR,0.013927362,561.0
RRC,0.013880636,562.0
BJRI,0.01383992,563.0
GFF,0.013838604,564.0
FTDR,0.013822081,565.0
LAZ,0.013787937,567.5
BL,0.013787937,567.5
BB,0.013787937,567.5
COFS,0.013787937,567.5
PARR,0.013740269,570.0
GIB,0.013702416,571.0
GWRE,0.013660016,572.0
DJCO,0.013618412,573.0
CSV,0.013613599,574.0
OTEX,0.013609403,575.0
ABM,0.013588613,576.0
AEIS,0.013383764,577.0
MC,0.013351732,578.0
LWLG,0.013313555,579.0
HESM,0.013201125,581.0
MGEE,0.013201125,581.0
RSVR,0.013201125,581.0
CNXN,0.013143607,583.0
HTB,0.013107603,584.0
BAM,0.013078862,585.0
LAND,0.013060634,586.0
AEVA,0.013006218,587.0
GNE,0.012981408,588.0
ARCB,0.012921002,589.0
AMTB,0.012909566,591.0
ADUS,0.012909566,591.0
OVV,0.012909566,591.0
KTB,0.012870335,594.0
MRTN,0.012870335,594.0
CVLG,0.012870335,594.0
YEXT,0.012810995,596.0
BLDP,0.012705256,597.0
BATRK,0.012483075,600.5
GFL,0.012483075,600.5
FWONK,0.012483075,600.5
VICI,0.012483075,600.5
BRW,0.012483075,600.5
BATRA,0.012483075,600.5
NRIM,0.012458243,604.0
ATLC,0.012412594,605.0
HWKN,0.012363208,607.5
ODC,0.012363208,607.5
LOGI,0.012363208,607.5
PLMR,0.012363208,607.5
LMNR,0.012340889,611.0
INBK,0.012340889,611.0
KNTK,0.012340889,611.0
JBLU,0.012337023,613.0
IQ,0.012286012,615.0
DORM,0.012286012,615.0
ICLR,0.012286012,615.0
PFLT,0.012225421,617.0
NG,0.0122015765,618.0
RACE,0.012087422,619.5
BSY,0.012087422,619.5
AKR,0.012077004,621.0
SYY,0.012052311,622.0
CIGI,0.011999916,623.0
MRX,0.0119621195,624.5
ULS,0.0119621195,624.5
FIGS,0.011904103,626.0
VHI,0.011825625,627.0
EIG,0.011742422,628.0
KREF,0.011711955,629.0
MIDD,0.01171068,631.5
HRMY,0.01171068,631.5
CGNT,0.01171068,631.5
ETON,0.01171068,631.5
EEFT,0.011591015,635.0
ATHM,0.011591015,635.0
FFIN,0.011591015,635.0
NL,0.011384705,637.0
OFLX,0.01136841,638.5
PRG,0.01136841,638.5
NEWT,0.011362476,640.0
GEL,0.011343312,641.0
ICFI,0.011341647,642.0
ERII,0.011275448,643.0
FWONA,0.011079088,644.0
SNY,0.01104402,645.5
AIV,0.01104402,645.5
RGR,0.011015532,647.0
KYMR,0.01098556,648.0
SYBT,0.010967461,650.0
GPI,0.010967461,650.0
ALC,0.010967461,650.0
RDWR,0.01090194,652.0
LLYVK,0.0108775785,653.0
PRM,0.010875928,654.0
LMAT,0.010864051,655.0
IMCR,0.010861283,657.5
LLYVA,0.010861283,657.5
AS,0.010861283,657.5
CHEF,0.010861283,657.5
BV,0.010768137,660.0
LOPE,0.010750783,661.0
BIO,0.010606745,662.0
POST,0.010595681,663.0
AWR,0.010550386,664.0
CRVL,0.01051554,666.0
ANIK,0.01051554,666.0
TENB,0.01051554,666.0
KRP,0.0103723,668.0
BURL,0.010256447,669.0
CBNK,0.010249412,670.0
IMXI,0.010230947,671.0
CARG,0.010208755,672.5
INGM,0.010208755,672.5
GRBK,0.010116293,674.0
ATNI,0.010108677,675.0
OXSQ,0.010049859,676.5
HSTM,0.010049859,676.5
BGC,0.009998203,678.0
MCBS,0.009991168,679.0
CWST,0.00998949,680.0
CRC,0.009978702,681.0
PKST,0.009850719,682.0
APGE,0.009781099,683.0
GIII,0.009702409,684.0
FHTX,0.009639195,685.0
ARW,0.009600555,686.5
LKFN,0.009600555,686.5
IRT,0.009594006,688.0
LGIH,0.009572582,689.0
CTO,0.009539822,690.0
MANH,0.009520413,691.0
SLRC,0.009506246,692.0
CLMB,0.009495082,693.0
BFH,0.009485002,694.5
OSBC,0.009485002,694.5
ORI,0.009440212,696.0
SCL,0.0094086155,697.0
GLNG,0.009355148,698.0
BACQ,0.009198191,699.5
INVA,0.009198191,699.5
LINC,0.009165203,701.0
MATW,0.009135852,702.0
CCS,0.009065589,703.0
HY,0.008974965,704.0
ARHS,0.008972629,705.0
EGP,0.008841566,706.0
ACRE,0.008832473,707.0
CCB,0.008831719,708.0
MEI,0.008800069,709.0
MSM,0.008779816,710.0
OPY,0.008741636,711.0
SENEA,0.0086977305,712.5
RDVT,0.0086977305,712.5
PIPR,0.0085487915,714.0
AHCO,0.008518439,715.0
BFS,0.008511499,716.5
UTL,0.008511499,716.5
RDY,0.008254317,718.0
AIOT,0.008241241,719.0
REXR,0.008188282,720.5
SUI,0.008188282,720.5
PHM,0.008179191,722.5
MCFT,0.008179191,722.5
FRA,0.008173358,724.0
PNFP,0.008099689,725.0
ATEN,0.007841098,726.0
MTLS,0.007737421,727.0
JACK,0.0076792785,728.0
REFI,0.0076663196,729.0
GIC,0.0075478996,730.0
DMLP,0.007520974,731.0
VISN,0.0073828255,732.0
GHRS,0.0073296023,733.0
GILT,0.007297628,734.5
PHAT,0.007297628,734.5
AGCO,0.0072778906,736.0
BBUC,0.0072268373,737.0
UNM,0.007123049,738.0
BVS,0.007050796,739.0
MBC,0.0069884425,740.0
CYRX,0.0068077524,741.0
HLMN,0.006770347,742.0
GSM,0.0066728652,743.0
CGNX,0.0066071223,744.0
MLR,0.006554249,745.0
OXLC,0.0065258476,746.0
MBI,0.0064685033,747.0
NVST,0.0064669685,748.5
STEP,0.0064669685,748.5
MTA,0.0064631808,750.0
REYN,0.006273761,751.0
SMRT,0.0062566395,752.0
PRA,0.006253184,753.0
HZO,0.0062040854,754.0
BRT,0.0061784717,755.0
NKTX,0.0061782687,756.0
CLNE,0.006019657,757.5
HRI,0.006019657,757.5
CTRN,0.0059791426,759.0
IMAX,0.0059745624,760.0
ALTO,0.00594425,761.0
NNDM,0.0059264977,762.0
PEB,0.005799777,763.0
ACTG,0.005795073,764.5
EPAC,0.005795073,764.5
IRTC,0.0056796973,766.0
IBOC,0.005675059,767.0
CURB,0.0056422185,768.0
CWT,0.005617178,769.0
CLDX,0.0055672023,770.0
RHP,0.0055549187,771.5
DOX,0.0055549187,771.5
AIN,0.005541808,773.0
ESPO,0.0055341786,775.5
CTLP,0.0055341786,775.5
NFG,0.0055341786,775.5
VLGEA,0.0055341786,775.5
ABUS,0.00551706,779.0
NUVL,0.00551706,779.0
ALLT,0.00551706,779.0
PAHC,0.005503706,781.0
WK,0.005482894,782.0
GRVY,0.0054569836,784.5
VRE,0.0054569836,784.5
HOMB,0.0054569836,784.5
EPRT,0.0054569836,784.5
DIOD,0.0054541146,787.0
ENTG,0.005408562,788.0
GBX,0.0052624526,789.0
ARKO,0.005246157,790.5
AVNS,0.005246157,790.5
EEX,0.0052261455,792.0
NMIH,0.0050485847,794.0
EQNR,0.0050485847,794.0
FUL,0.0050485847,794.0
PRK,0.004910928,796.5
CION,0.004910928,796.5
OGE,0.0048816497,799.0
CHT,0.0048816497,799.0
UE,0.0048816497,799.0
ATRC,0.0048805764,801.0
JBTM,0.0048512616,802.0
MTRN,0.004829312,803.0
DGICA,0.004827135,804.0
AMCX,0.004824733,805.5
ADAM,0.004824733,805.5
CQP,0.0047743223,807.0
FR,0.0045389584,808.0
ANIP,0.004529867,809.5
EVR,0.004529867,809.5
STRA,0.0045112534,812.5
SITE,0.0045112534,812.5
PRSU,0.0045112534,812.5
CWAN,0.0045112534,812.5
CTOS,0.0045019663,815.0
LAMR,0.004480563,816.0
FBRT,0.0044464194,817.0
MGY,0.0044461624,818.0
MHO,0.004429728,819.0
SKT,0.004416474,820.0
LDI,0.0043803477,821.0
ACIW,0.004353463,822.0
SLQT,0.0043349913,823.0
REPX,0.004270214,824.0
HOFT,0.004227571,825.5
HLIT,0.004227571,825.5
HIFS,0.0042257067,827.0
ASIX,0.004182118,828.0
ARTNA,0.0041808593,829.0
THRM,0.004160955,830.0
RJF,0.0040529952,831.0
AHH,0.004045338,832.0
KROS,0.004038891,833.0
PGJ,0.0040322547,836.0
MKL,0.0040322547,836.0
NTST,0.0040322547,836.0
UVV,0.0040322547,836.0
GNW,0.0040322547,836.0
EXLS,0.0039818888,839.0
GERN,0.0039786054,840.0
ATAT,0.0039640027,841.0
DMXF,0.0039159185,842.0
AMBP,0.0039153886,843.0
DFTX,0.0038975133,844.0
NVMI,0.003877868,846.0
JAZZ,0.003877868,846.0
AXL,0.003877868,846.0
AVO,0.0038645016,848.0
IPGP,0.003848206,849.0
OSIS,0.0038046315,850.0
NIC,0.0037072971,851.0
OMAB,0.0035733092,852.0
GLPI,0.0035283302,853.0
NVEC,0.0035196857,854.0
ACVA,0.0034374278,855.0
NBHC,0.0034090036,856.0
WERN,0.0034046944,857.0
AVAH,0.0033998638,858.0
APAM,0.0033924782,859.0
COMP,0.0033870637,860.0
SLQD,0.0033797259,864.0
VRIG,0.0033797259,864.0
AGO,0.0033797259,864.0
BBDC,0.0033797259,864.0
LADR,0.0033797259,864.0
NTRSO,0.0033797259,864.0
PFH,0.0033797259,864.0
CTS,0.0033714937,869.0
FLYW,0.0033714937,869.0
ICUI,0.0033714937,869.0
IDCC,0.0033707682,871.0
CDP,0.00336365,872.0
AVT,0.0033583355,873.0
NRC,0.0033443572,874.0
NX,0.0033391386,875.0
RHI,0.0033364731,876.0
DRLL,0.0032633897,877.0
ECG,0.003238342,878.0
TCX,0.0032181472,879.0
NATL,0.0031855407,880.5
IBP,0.0031855407,880.5
ACDC,0.0031806831,882.0
CEPU,0.003105508,883.0
PAGP,0.0030948767,885.0
ELS,0.0030948767,885.0
CNI,0.0030948767,885.0
FFWM,0.0030589737,887.0
AD,0.0030212966,888.0
BWLP,0.003005001,889.0
SEM,0.0029700988,891.0
TRN,0.0029700988,891.0
AVNT,0.0029700988,891.0
MAC,0.0029572477,893.0
BPOP,0.0029441223,894.0
BLFS,0.002877136,895.0
AFYA,0.0028274811,896.0
LYTS,0.0028014083,897.0
HEI.A,0.0027495332,898.0
GTX,0.0027453613,899.0
SNN,0.002736228,900.0
BRSL,0.0026282668,901.0
GAMB,0.002560186,902.0
CVCO,0.0025525903,903.0
AVTX,0.0025094731,904.0
RLJ,0.0024799646,905.0
PWP,0.0024406526,906.0
KB,0.0024234778,907.0
DHIL,0.0023732928,908.0
PHO,0.0023691622,912.5
MTB.PRJ,0.0023691622,912.5
FTC,0.0023691622,912.5
FTCS,0.0023691622,912.5
AGNCN,0.0023691622,912.5
VTC,0.0023691622,912.5
ENZL,0.0023691622,912.5
AIT,0.0023691622,912.5
HAYW,0.002352472,917.0
RBCAA,0.002326874,918.0
IHS,0.0022731526,920.0
GSL,0.0022731526,920.0
DK,0.0022731526,920.0
WTI,0.0022587762,922.0
EGBN,0.00223559,923.0
KALU,0.0021865529,924.0
ENSG,0.0021236297,925.0
MKSI,0.0021170862,926.0
SQNS,0.002104919,927.0
OCFC,0.0020999948,928.0
IMNM,0.0020728202,929.5
ADPT,0.0020728202,929.5
GKOS,0.0019538407,931.0
IAC,0.0019336063,932.5
RDN,0.0019336063,932.5
AGM,0.0018564111,934.0
AMPH,0.001830338,935.0
BCPC,0.001811058,936.5
EBF,0.001811058,936.5
FBK,0.0018065907,938.0
RM,0.0017715207,939.0
TARS,0.0017653195,940.0
USPH,0.0017373768,942.5
UNF,0.0017373768,942.5
TTC,0.0017373768,942.5
ASC,0.0017373768,942.5
LQDT,0.0017292578,945.0
HLN,0.0016701506,946.0
MTX,0.0016570867,947.5
CCAP,0.0016570867,947.5
